section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,26,1767938501628826825,1767938501673951825,45,138.5161499457006,8.623928589636524,2876.8933055367493,4626.66582462385
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,27,1767938501959200825,1767938502064325825,105,508.58209695738367,32.488000867480274,4912.503205490259,7287.845032328157
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,28,1767938502604824825,1767938502689824825,85,63.05833507844003,4.078680920705838,1343.7742657795804,2808.0638715823966
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,29,1767938502784949825,1767938502995198825,210,449.2920253440232,28.7722963597246,2802.0272665659904,5751.311621280756
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,30,1767938503105210825,1767938503120325825,15,8.493023461839515,0.5314624925249235,1093.8572710437054,1117.8559075917492
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,31,1767938503260448825,1767938503275452825,15,18.372485335007493,1.1848705787139904,1190.212065650731,1347.286547941782
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,32,1767938503345448825,1767938503360457825,15,16.072790794121275,1.039312222092878,941.348578125635,1033.3488643675448
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,33,1767938503510578825,1767938503585698825,75,53.95434708488448,3.3272994258668356,882.8792189502325,1365.2400626431895
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,34,1767938503961072825,1767938503981072825,20,19.071235978793172,1.1565979366480388,1372.7994524845,1635.7927506454967
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,35,1767938504111197825,1767938504161197825,50,27.602906345590515,1.7626372594347939,1183.2116726846514,1634.6641769573403
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,36,1767938504336447825,1767938504376446825,40,55.459696648338785,3.363496708256791,1491.7160267922877,2203.727735393568
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,37,1767938504841821825,1767938504946945825,105,26.625207823992277,1.7070593209352682,1006.3179240999564,1564.2776305295256
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,38,1767938505287320825,1767938505297320825,10,8.026156100009855,0.5092599508616539,899.5798205689741,945.1094820885805
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,39,1767938505632569825,1767938505777694825,145,690.0780250819226,44.29104407053151,5032.491770851357,9054.164246877792
